date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pH_adj,pD_adj,pA_adj,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-03-01,2024,1,Shanghai Port,Wuhan Three Towns,0,0.5460502327342301,0.21447098731538414,0.23947877995038575,1.2534895169570262,1.78,3.92,3.84,1.64,4.1,5.12,0.5178943143237368,0.25497511947091095,0.22713056620535227,draw,-0.0004975316740291058,-1.0,-0.004278074650932551,-0.0030955112601662124,0.018308071524158705
2024-03-01,2024,1,Shandong Taishan,Changchun Yatai,0,0.7426471143332259,0.16206770720662053,0.09528517846015351,1.2534895169570262,1.26,5.53,8.7,1.4,5.16,6.87,0.7133412956540462,0.19513360265560448,0.09152510169034925,draw,0.07908882268549289,-1.0,0.017943223795715668,0.019125787186482005,0.014843528258480497
2024-03-02,2024,1,Cangzhou,Beijing Guoan,2,0.24655531090202723,0.23177189798615352,0.5216727911118193,1.2628093538181095,4.87,3.85,1.62,5.11,4.12,1.64,0.2323994375560544,0.27587940341014516,0.49172115903380054,home,0.13178526089798503,-1.0,-0.0030119918155975534,-0.0065193791277888755,0.01562537153205594
2024-03-02,2024,1,Tianjin Jinmen Tiger,Nantong Zhiyun,1,0.47570358845281885,0.2905079875142373,0.2337884240329439,1.2628093538181095,1.69,3.58,4.73,1.6,3.79,6.3,0.4419606788680098,0.3408341263317201,0.2172051948002701,draw,0.220186172267558,2.58,-0.006182480277919178,-0.004999916887152839,0.02127935923957434
2024-03-02,2024,1,Chengdu Rongcheng,Qingdao Hainiu,0,0.6540742973499574,0.2050452116318959,0.14088049101814681,1.2628093538181095,1.38,4.56,6.75,1.58,4.13,5.71,0.6206299167855359,0.2456931480840861,0.13367693513037812,draw,0.12036075526343248,-1.0,0.029755510230231458,0.030938073620997795,0.018491136848368273
2024-03-03,2024,1,Meizhou Hakka,Shanghai Shenhua,2,0.28255991990157786,0.26988268251738756,0.4475573975810347,1.2684154946003967,3.39,3.21,2.13,4.31,3.57,1.87,0.2634737021434417,0.3192002860731691,0.41732601178338935,draw,0.024632918294872796,-1.0,-0.021958126010927836,-0.0207755626201615,0.022002464016954666
2024-03-08,2024,2,Qingdao Hainiu,Changchun Yatai,2,0.46698463146974417,0.23054924279523908,0.3024661257350168,1.2501594473877684,2.23,3.57,3.29,2.34,3.44,3.07,0.44152035508604,0.2725067408042115,0.28597290410974857,home,-0.01540960815813086,-1.0,-0.024892436501043502,-0.028399823813234824,0.014112682075861865
2024-03-08,2024,2,Shanghai Shenhua,Qingdao West Coast,0,0.4016030360858746,0.3677957441691848,0.23060121974494058,1.2501594473877684,1.23,5.36,10.91,1.26,5.63,12.5,0.3677657952194256,0.42106239247402283,0.21117181230655158,away,1.3038844722644778,-1.0,-0.007897350884306445,-0.005572526962881456,0.007663293942132397
2024-03-09,2024,2,Henan Songshan Longmen,Meizhou Hakka,1,0.481344622027712,0.2435846878818822,0.2750706900904058,1.2424475395603602,1.77,3.66,4.12,1.69,3.92,4.92,0.45450324725579794,0.2857649179013792,0.25973183484282286,away,0.07009515955243018,-1.0,-0.03098876585994159,-0.028663941938516603,0.018169229622967863
2024-03-09,2024,2,Shandong Taishan,Beijing Guoan,1,0.5445918722526526,0.24526002788898468,0.21014809985836283,1.2424475395603602,1.53,4.19,5.27,3.01,3.36,2.41,0.5140264751476532,0.2876200558915455,0.19835346896080144,draw,0.20512803418557568,3.1900000000000004,0.06428827233041123,0.06547083572117757,0.018089611073861353
2024-03-09,2024,2,Zhejiang Professional,Shanghai Port,1,0.34001361522577506,0.21869355634552365,0.4412928284287014,1.2424475395603602,2.66,3.47,2.44,2.71,3.48,2.58,0.32289326088360903,0.25803387263344696,0.4190728664829442,away,0.022537794218383755,-1.0,-0.010335192252064918,-0.008010368330639929,0.02822415193278388
