date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pH_adj,pD_adj,pA_adj,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-03-01,2024,1,Shanghai Port,Wuhan Three Towns,0,0.5516690499301146,0.2677766826813071,0.18055426738857835,0.8502741134921933,1.78,3.92,3.84,1.64,4.1,5.12,0.5633404919993407,0.2522853259867375,0.18437418201392178,home,0.0027460757588264606,0.78,0.05981088288101066,0.05630349556881934,0.0403188990869113
2024-03-01,2024,1,Shandong Taishan,Changchun Yatai,0,0.7478704101134536,0.18617546136249538,0.06595412852405104,0.8502741134921933,1.26,5.53,8.7,1.4,5.16,6.87,0.7571459856947038,0.17608187975273076,0.06677213455256542,draw,-0.02626720496739887,-1.0,0.017943223795715668,0.019125787186482005,0.014843528258480497
2024-03-02,2024,1,Cangzhou,Beijing Guoan,2,0.21233564592995502,0.3135279421752423,0.4741364118948027,0.8571321738358311,4.87,3.85,1.62,5.11,4.12,1.64,0.22371110777039874,0.2767515607809832,0.4995373314486182,home,0.08947309484184185,-1.0,-0.0030119918155975534,-0.0065193791277888755,0.01562537153205594
2024-03-02,2024,1,Tianjin Jinmen Tiger,Nantong Zhiyun,1,0.3954851731161756,0.43442748856082325,0.1700873383230011,0.8571321738358311,1.69,3.58,4.73,1.6,3.79,6.3,0.4571524053756888,0.3462388691298982,0.1966087254944129,draw,0.23953515148503568,2.58,-0.006182480277919178,-0.004999916887152839,0.02127935923957434
2024-03-02,2024,1,Chengdu Rongcheng,Qingdao Hainiu,0,0.669745912464431,0.2453834125520924,0.08487067498347654,0.8571321738358311,1.38,4.56,6.75,1.58,4.13,5.71,0.6895273470037243,0.2230952606588796,0.0873773923373961,draw,0.01731438860449086,-1.0,0.029755510230231458,0.030938073620997795,0.018491136848368273
2024-03-03,2024,1,Meizhou Hakka,Shanghai Shenhua,2,0.1922939277182654,0.3711671613639202,0.43653891091781444,0.8688601134577106,3.39,3.21,2.13,4.31,3.57,1.87,0.20477695991688374,0.3303455885488722,0.46487745153424415,draw,0.060409339241879634,-1.0,-0.021958126010927836,-0.0207755626201615,0.022002464016954666
2024-03-08,2024,2,Qingdao Hainiu,Changchun Yatai,2,0.43305555661854395,0.28609423596205963,0.28085020741939654,0.8584371376874,2.23,3.57,3.29,2.34,3.44,3.07,0.43754369507533714,0.27869539794893294,0.28376090697573003,draw,-0.005057429322309459,-1.0,0.007207910061324929,0.008390473452091268,0.008815484882120998
2024-03-08,2024,2,Shanghai Shenhua,Qingdao West Coast,0,0.2618253467438011,0.5060650980389804,0.2321095552172185,0.8584371376874,1.23,5.36,10.91,1.26,5.63,12.5,0.3506393484720227,0.3385170138600998,0.3108436376678774,away,2.3913040869565427,-1.0,-0.007897350884306445,-0.005572526962881456,0.007663293942132397
2024-03-09,2024,2,Nantong Zhiyun,Wuhan Three Towns,2,0.2125449615609823,0.36461348051430353,0.42284155792471423,0.8523990589896262,4.21,3.68,1.75,2.93,3.25,2.53,0.23147262627771734,0.308030708953718,0.4604966647685647,draw,0.13355300894968214,-1.0,0.043207021884072716,0.044389585274839057,0.020291193041650106
2024-03-09,2024,2,Henan Songshan Longmen,Meizhou Hakka,1,0.451109167981208,0.31019359713521527,0.2386972348835768,0.8523990589896262,1.77,3.66,4.12,1.69,3.92,4.92,0.46988526752241033,0.2814824234246257,0.24863230905296388,draw,0.0302256697341301,2.66,-0.009833132493209856,-0.008650569102443518,0.020452794001810815
2024-03-09,2024,2,Shandong Taishan,Beijing Guoan,1,0.49555529112090285,0.3426141239696317,0.16183058490946545,0.8523990589896262,1.53,4.19,5.27,3.01,3.36,2.41,0.541553915443537,0.28159399869132196,0.17685208586514087,draw,0.1798788545166392,3.1900000000000004,0.06428827233041123,0.06547083572117757,0.018089611073861353
