date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-03-01,2024,1,Shanghai Port,Wuhan Three Towns,0,0.5587544026642177,0.2649621582581411,0.1762834390776411,0.8475540169965632,1.78,3.92,3.84,1.64,4.1,5.12,draw,0.038651660371913144,-1.0,-0.004278074650932551,-0.0030955112601662124,0.018308071524158705
2024-03-01,2024,1,Shandong Taishan,Changchun Yatai,0,0.7780028802595994,0.17574919311201737,0.04624792662838332,0.8475540169965632,1.26,5.53,8.7,1.4,5.16,6.87,home,-0.019716370872904787,0.26,-0.050585159402670166,-0.05409254671486149,0.06514659624555329
2024-03-02,2024,1,Cangzhou,Beijing Guoan,2,0.21484572018817844,0.3149137525631422,0.4702405272486794,0.8547808838166492,4.87,3.85,1.62,5.11,4.12,1.64,draw,0.21241794736809738,-1.0,-0.0084110076726783,-0.007228444281911961,0.019765080353535698
2024-03-02,2024,1,Tianjin Jinmen Tiger,Nantong Zhiyun,1,0.39798604117652686,0.4344039578429807,0.16761000098049236,0.8547808838166492,1.69,3.58,4.73,1.6,3.79,6.3,draw,0.5551661690778709,2.58,-0.006182480277919178,-0.004999916887152839,0.02127935923957434
2024-03-02,2024,1,Chengdu Rongcheng,Qingdao Hainiu,0,0.673917834023118,0.24303262366849415,0.08304954230838789,0.8547808838166492,1.38,4.56,6.75,1.58,4.13,5.71,draw,0.10822876392833325,-1.0,0.029755510230231458,0.030938073620997795,0.018491136848368273
2024-03-03,2024,1,Meizhou Hakka,Shanghai Shenhua,2,0.1946486269967813,0.3730058099628303,0.43234556304038846,0.8667749509428705,3.39,3.21,2.13,4.31,3.57,1.87,draw,0.19734864998068513,-1.0,-0.021958126010927836,-0.0207755626201615,0.022002464016954666
2024-03-08,2024,2,Qingdao Hainiu,Changchun Yatai,2,0.4365852722178526,0.28586710586057756,0.2775476219215699,0.855783937671404,2.23,3.57,3.29,2.34,3.44,3.07,draw,0.02054556792226192,-1.0,0.007207910061324929,0.008390473452091268,0.008815484882120998
2024-03-08,2024,2,Shanghai Shenhua,Qingdao West Coast,0,0.11362525452561174,0.630583586979215,0.2557911584951732,0.855783937671404,1.23,5.36,10.91,1.26,5.63,12.5,draw,2.3799280262085927,-1.0,-0.0020115948946740625,-0.0008290315039077242,0.015598234497885157
2024-03-09,2024,2,Nantong Zhiyun,Wuhan Three Towns,2,0.21492308070673039,0.36654720283037145,0.41852971646289816,0.8490007239929989,4.21,3.68,1.75,2.93,3.25,2.53,draw,0.3488937064157671,-1.0,0.043207021884072716,0.044389585274839057,0.020291193041650106
2024-03-09,2024,2,Henan Songshan Longmen,Meizhou Hakka,1,0.45523368509340084,0.3093969328882066,0.2353693820183925,0.8490007239929989,1.77,3.66,4.12,1.69,3.92,4.92,draw,0.13239277437083619,2.66,-0.009833132493209856,-0.008650569102443518,0.020452794001810815
