date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pH_adj,pD_adj,pA_adj,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-03-01,2024,1,Shanghai Port,Wuhan Three Towns,0,0.5587544026642177,0.2649621582581411,0.1762834390776411,0.8475540169965632,1.78,3.92,3.84,1.64,4.1,5.12,0.580167041178879,0.23679396929216784,0.18303898952895312,home,0.03269733329840463,0.78,0.05981088288101066,0.05630349556881934,0.0403188990869113
2024-03-01,2024,1,Shandong Taishan,Changchun Yatai,0,0.7780028802595994,0.17574919311201737,0.04624792662838332,0.8475540169965632,1.26,5.53,8.7,1.4,5.16,6.87,0.7872161007215908,0.16598829814296615,0.04679560113544314,home,-0.00810771309079561,0.26,-0.050585159402670166,-0.05409254671486149,0.06514659624555329
2024-03-02,2024,1,Cangzhou,Beijing Guoan,2,0.21484572018817844,0.3149137525631422,0.4702405272486794,0.8547808838166492,4.87,3.85,1.62,5.11,4.12,1.64,0.23834674912314624,0.23997517938672402,0.5216780714901299,home,0.1607486682297221,-1.0,-0.0030119918155975534,-0.0065193791277888755,0.01562537153205594
2024-03-02,2024,1,Tianjin Jinmen Tiger,Nantong Zhiyun,1,0.39798604117652686,0.4344039578429807,0.16761000098049236,0.8547808838166492,1.69,3.58,4.73,1.6,3.79,6.3,0.5220786955086963,0.2580502496989731,0.21987105479233032,away,0.03999008916772251,-1.0,-0.043790308051620264,-0.041465484130195275,0.01610573067181314
2024-03-02,2024,1,Chengdu Rongcheng,Qingdao Hainiu,0,0.673917834023118,0.24303262366849415,0.08304954230838789,0.8547808838166492,1.38,4.56,6.75,1.58,4.13,5.71,0.7115106397814496,0.20080710876566682,0.0876822514528835,home,-0.018115317101599637,0.3799999999999999,-0.06086335834234724,-0.06437074565453857,0.06110114784678213
2024-03-03,2024,1,Meizhou Hakka,Shanghai Shenhua,2,0.1946486269967813,0.3730058099628303,0.43234556304038846,0.8667749509428705,3.39,3.21,2.13,4.31,3.57,1.87,0.22056532109715335,0.28952401573382414,0.4899106631690226,away,0.04350971255001812,1.13,0.07448268253281348,0.07680750645423846,0.03315864295512887
2024-03-08,2024,2,Qingdao Hainiu,Changchun Yatai,2,0.4365852722178526,0.28586710586057756,0.2775476219215699,0.855783937671404,2.23,3.57,3.29,2.34,3.44,3.07,0.44549297806802884,0.2712965599358062,0.283210461996165,home,-0.006550658908295648,-1.0,-0.024892436501043502,-0.028399823813234824,0.014112682075861865
2024-03-08,2024,2,Shanghai Shenhua,Qingdao West Coast,0,0.11362525452561174,0.630583586979215,0.2557911584951732,0.855783937671404,1.23,5.36,10.91,1.26,5.63,12.5,0.25499372267823883,0.1709689296812193,0.5740373476405417,away,5.26274746275831,-1.0,-0.007897350884306445,-0.005572526962881456,0.007663293942132397
2024-03-09,2024,2,Nantong Zhiyun,Wuhan Three Towns,2,0.21492308070673039,0.36654720283037145,0.41852971646289816,0.8490007239929989,4.21,3.68,1.75,2.93,3.25,2.53,0.25397490718122745,0.2514479373931325,0.4945771554256402,home,0.06923435923296761,-1.0,0.10704273427988356,0.10353534696769223,0.017736719808378244
2024-03-09,2024,2,Henan Songshan Longmen,Meizhou Hakka,1,0.45523368509340084,0.3093969328882066,0.2353693820183925,0.8490007239929989,1.77,3.66,4.12,1.69,3.92,4.92,0.49256036325328234,0.25277124971403614,0.25466838703268135,away,0.04923375457464729,-1.0,-0.03098876585994159,-0.028663941938516603,0.018169229622967863
