fixture_id,season,round,match_date,home_team,away_team,home_goals,away_goals,result,status
CSL-2026-1-2026-03-06-chengdu-rongcheng-shenzhen-xinpengcheng,2026,1,2026-03-06,Chengdu Rongcheng,Shenzhen Xinpengcheng,5,1,H,finished
CSL-2026-1-2026-03-07-shandong-taishan-liaoning-tieren,2026,1,2026-03-07,Shandong Taishan,Liaoning Tieren,3,0,H,finished
CSL-2026-1-2026-03-07-shanghai-port-henan-songshan-longmen,2026,1,2026-03-07,Shanghai Port,Henan Songshan Longmen,1,2,A,finished
CSL-2026-1-2026-03-07-shanghai-shenhua-dalian-yingbo,2026,1,2026-03-07,Shanghai Shenhua,Dalian Yingbo,5,3,H,finished
CSL-2026-1-2026-03-07-tianjin-jinmen-tiger-chongqing-tonglianglong,2026,1,2026-03-07,Tianjin Jinmen Tiger,Chongqing Tonglianglong,0,0,D,finished
CSL-2026-1-2026-03-07-yunnan-yukun-qingdao-hainiu,2026,1,2026-03-07,Yunnan Yukun,Qingdao Hainiu,3,1,H,finished
CSL-2026-1-2026-03-08-wuhan-three-towns-beijing-guoan,2026,1,2026-03-08,Wuhan Three Towns,Beijing Guoan,0,2,A,finished
CSL-2026-1-2026-03-08-zhejiang-professional-qingdao-west-coast,2026,1,2026-03-08,Zhejiang Professional,Qingdao West Coast,2,0,H,finished
CSL-2026-2-2026-03-13-wuhan-three-towns-dalian-yingbo,2026,2,2026-03-13,Wuhan Three Towns,Dalian Yingbo,4,1,H,finished
CSL-2026-2-2026-03-14-chongqing-tonglianglong-liaoning-tieren,2026,2,2026-03-14,Chongqing Tonglianglong,Liaoning Tieren,1,0,H,finished
CSL-2026-2-2026-03-14-shandong-taishan-beijing-guoan,2026,2,2026-03-14,Shandong Taishan,Beijing Guoan,2,1,H,finished
CSL-2026-2-2026-03-14-shenzhen-xinpengcheng-tianjin-jinmen-tiger,2026,2,2026-03-14,Shenzhen Xinpengcheng,Tianjin Jinmen Tiger,1,0,H,finished
CSL-2026-2-2026-03-14-zhejiang-professional-shanghai-shenhua,2026,2,2026-03-14,Zhejiang Professional,Shanghai Shenhua,1,1,D,finished
CSL-2026-2-2026-03-15-chengdu-rongcheng-qingdao-hainiu,2026,2,2026-03-15,Chengdu Rongcheng,Qingdao Hainiu,1,0,H,finished
CSL-2026-2-2026-03-15-henan-songshan-longmen-yunnan-yukun,2026,2,2026-03-15,Henan Songshan Longmen,Yunnan Yukun,2,1,H,finished
CSL-2026-2-2026-03-15-shanghai-port-qingdao-west-coast,2026,2,2026-03-15,Shanghai Port,Qingdao West Coast,4,1,H,finished
CSL-2026-3-2026-03-20-dalian-yingbo-shanghai-port,2026,3,2026-03-20,Dalian Yingbo,Shanghai Port,1,0,H,finished
CSL-2026-3-2026-03-20-qingdao-hainiu-zhejiang-professional,2026,3,2026-03-20,Qingdao Hainiu,Zhejiang Professional,1,4,A,finished
CSL-2026-3-2026-03-21-beijing-guoan-shanghai-shenhua,2026,3,2026-03-21,Beijing Guoan,Shanghai Shenhua,1,1,D,finished
CSL-2026-3-2026-03-21-chongqing-tonglianglong-chengdu-rongcheng,2026,3,2026-03-21,Chongqing Tonglianglong,Chengdu Rongcheng,3,3,D,finished
CSL-2026-3-2026-03-21-henan-songshan-longmen-wuhan-three-towns,2026,3,2026-03-21,Henan Songshan Longmen,Wuhan Three Towns,1,1,D,finished
CSL-2026-3-2026-03-21-liaoning-tieren-tianjin-jinmen-tiger,2026,3,2026-03-21,Liaoning Tieren,Tianjin Jinmen Tiger,3,0,H,finished
CSL-2026-3-2026-03-21-qingdao-west-coast-shenzhen-xinpengcheng,2026,3,2026-03-21,Qingdao West Coast,Shenzhen Xinpengcheng,1,0,H,finished
CSL-2026-3-2026-03-21-yunnan-yukun-shandong-taishan,2026,3,2026-03-21,Yunnan Yukun,Shandong Taishan,4,0,H,finished
CSL-2026-4-2026-04-03-chengdu-rongcheng-qingdao-west-coast,2026,4,2026-04-03,Chengdu Rongcheng,Qingdao West Coast,5,1,H,finished
CSL-2026-4-2026-04-04-liaoning-tieren-beijing-guoan,2026,4,2026-04-04,Liaoning Tieren,Beijing Guoan,2,1,H,finished
CSL-2026-4-2026-04-04-qingdao-hainiu-henan-songshan-longmen,2026,4,2026-04-04,Qingdao Hainiu,Henan Songshan Longmen,1,0,H,finished
CSL-2026-4-2026-04-04-shandong-taishan-dalian-yingbo,2026,4,2026-04-04,Shandong Taishan,Dalian Yingbo,1,2,A,finished
CSL-2026-4-2026-04-04-shanghai-port-yunnan-yukun,2026,4,2026-04-04,Shanghai Port,Yunnan Yukun,2,1,H,finished
CSL-2026-4-2026-04-05-shenzhen-xinpengcheng-wuhan-three-towns,2026,4,2026-04-05,Shenzhen Xinpengcheng,Wuhan Three Towns,5,2,H,finished
CSL-2026-4-2026-04-05-tianjin-jinmen-tiger-shanghai-shenhua,2026,4,2026-04-05,Tianjin Jinmen Tiger,Shanghai Shenhua,2,3,A,finished
CSL-2026-4-2026-04-05-zhejiang-professional-chongqing-tonglianglong,2026,4,2026-04-05,Zhejiang Professional,Chongqing Tonglianglong,0,1,A,finished
CSL-2026-5-2026-04-10-dalian-yingbo-zhejiang-professional,2026,5,2026-04-10,Dalian Yingbo,Zhejiang Professional,3,0,H,finished
CSL-2026-5-2026-04-11-chongqing-tonglianglong-wuhan-three-towns,2026,5,2026-04-11,Chongqing Tonglianglong,Wuhan Three Towns,2,1,H,finished
CSL-2026-5-2026-04-11-henan-songshan-longmen-shandong-taishan,2026,5,2026-04-11,Henan Songshan Longmen,Shandong Taishan,0,1,A,finished
CSL-2026-5-2026-04-11-qingdao-west-coast-liaoning-tieren,2026,5,2026-04-11,Qingdao West Coast,Liaoning Tieren,1,1,D,finished
