fixture_id,round,match_date,match_time,kickoff_at,home_team,away_team
CSL-2026-13-2026-05-19-shenzhen-xinpengcheng-dalian-yingbo,13,2026-05-19,11:35,2026-05-19T11:35:00+08:00,Shenzhen Xinpengcheng,Dalian Yingbo
CSL-2026-13-2026-05-19-tianjin-jinmen-tiger-henan-songshan-longmen,13,2026-05-19,11:35,2026-05-19T11:35:00+08:00,Tianjin Jinmen Tiger,Henan Songshan Longmen
CSL-2026-13-2026-05-19-chengdu-rongcheng-shanghai-port,13,2026-05-19,12:00,2026-05-19T12:00:00+08:00,Chengdu Rongcheng,Shanghai Port
CSL-2026-13-2026-05-19-qingdao-west-coast-beijing-guoan,13,2026-05-19,12:00,2026-05-19T12:00:00+08:00,Qingdao West Coast,Beijing Guoan
CSL-2026-13-2026-05-20-liaoning-tieren-qingdao-hainiu,13,2026-05-20,11:00,2026-05-20T11:00:00+08:00,Liaoning Tieren,Qingdao Hainiu
CSL-2026-13-2026-05-20-shanghai-shenhua-wuhan-three-towns,13,2026-05-20,11:35,2026-05-20T11:35:00+08:00,Shanghai Shenhua,Wuhan Three Towns
CSL-2026-13-2026-05-20-chongqing-tonglianglong-yunnan-yukun,13,2026-05-20,12:00,2026-05-20T12:00:00+08:00,Chongqing Tonglianglong,Yunnan Yukun
CSL-2026-13-2026-05-20-zhejiang-professional-shandong-taishan,13,2026-05-20,12:00,2026-05-20T12:00:00+08:00,Zhejiang Professional,Shandong Taishan
CSL-2026-14-2026-05-23-shanghai-port-tianjin-jinmen-tiger,14,2026-05-23,11:00,2026-05-23T11:00:00+08:00,Shanghai Port,Tianjin Jinmen Tiger
CSL-2026-14-2026-05-23-beijing-guoan-henan-songshan-longmen,14,2026-05-23,11:35,2026-05-23T11:35:00+08:00,Beijing Guoan,Henan Songshan Longmen
CSL-2026-14-2026-05-23-dalian-yingbo-chengdu-rongcheng,14,2026-05-23,12:00,2026-05-23T12:00:00+08:00,Dalian Yingbo,Chengdu Rongcheng
CSL-2026-14-2026-05-24-qingdao-hainiu-chongqing-tonglianglong,14,2026-05-24,09:00,2026-05-24T09:00:00+08:00,Qingdao Hainiu,Chongqing Tonglianglong
CSL-2026-14-2026-05-24-yunnan-yukun-qingdao-west-coast,14,2026-05-24,11:00,2026-05-24T11:00:00+08:00,Yunnan Yukun,Qingdao West Coast
CSL-2026-14-2026-05-24-shandong-taishan-wuhan-three-towns,14,2026-05-24,11:35,2026-05-24T11:35:00+08:00,Shandong Taishan,Wuhan Three Towns
CSL-2026-14-2026-05-24-zhejiang-professional-liaoning-tieren,14,2026-05-24,11:35,2026-05-24T11:35:00+08:00,Zhejiang Professional,Liaoning Tieren
CSL-2026-14-2026-05-24-shanghai-shenhua-shenzhen-xinpengcheng,14,2026-05-24,12:00,2026-05-24T12:00:00+08:00,Shanghai Shenhua,Shenzhen Xinpengcheng
CSL-2026-15-2026-05-29-liaoning-tieren-shanghai-port,15,2026-05-29,11:35,2026-05-29T11:35:00+08:00,Liaoning Tieren,Shanghai Port
CSL-2026-15-2026-05-30-qingdao-west-coast-shanghai-shenhua,15,2026-05-30,10:00,2026-05-30T10:00:00+08:00,Qingdao West Coast,Shanghai Shenhua
CSL-2026-15-2026-05-30-henan-songshan-longmen-zhejiang-professional,15,2026-05-30,11:00,2026-05-30T11:00:00+08:00,Henan Songshan Longmen,Zhejiang Professional
CSL-2026-15-2026-05-30-chengdu-rongcheng-shandong-taishan,15,2026-05-30,11:35,2026-05-30T11:35:00+08:00,Chengdu Rongcheng,Shandong Taishan
CSL-2026-15-2026-05-30-chongqing-tonglianglong-beijing-guoan,15,2026-05-30,12:00,2026-05-30T12:00:00+08:00,Chongqing Tonglianglong,Beijing Guoan
CSL-2026-15-2026-05-30-shenzhen-xinpengcheng-qingdao-hainiu,15,2026-05-30,12:00,2026-05-30T12:00:00+08:00,Shenzhen Xinpengcheng,Qingdao Hainiu
CSL-2026-15-2026-05-31-tianjin-jinmen-tiger-dalian-yingbo,15,2026-05-31,11:00,2026-05-31T11:00:00+08:00,Tianjin Jinmen Tiger,Dalian Yingbo
CSL-2026-15-2026-05-31-wuhan-three-towns-yunnan-yukun,15,2026-05-31,11:35,2026-05-31T11:35:00+08:00,Wuhan Three Towns,Yunnan Yukun
