Country,League,Season,Round,Date,Time,Home,Away,HG,AG,HxG,AxG,HExpG+,AExpG+,Res,PSCH,PSCD,PSCA
China,Super League,2026,1,2026-03-06,11:35,Chengdu Rongcheng,Shenzhen Xinpengcheng,5.0,1.0,,,,,H,,,
China,Super League,2026,1,2026-03-07,07:30,Shandong Taishan,Liaoning Tieren,3.0,0.0,,,,,H,,,
China,Super League,2026,1,2026-03-07,07:30,Tianjin Jinmen Tiger,Chongqing Tonglianglong,0.0,0.0,,,,,D,,,
China,Super League,2026,1,2026-03-07,09:00,Shanghai Shenhua,Dalian Yingbo,5.0,3.0,,,,,H,,,
China,Super League,2026,1,2026-03-07,11:35,Shanghai Port,Henan Songshan Longmen,1.0,2.0,,,,,A,,,
China,Super League,2026,1,2026-03-07,11:35,Yunnan Yukun,Qingdao Hainiu,3.0,1.0,,,,,H,,,
China,Super League,2026,1,2026-03-08,07:30,Zhejiang Professional,Qingdao West Coast,2.0,0.0,,,,,H,,,
China,Super League,2026,1,2026-03-08,11:00,Wuhan Three Towns,Beijing Guoan,0.0,2.0,,,,,A,,,
China,Super League,2026,2,2026-03-13,11:35,Wuhan Three Towns,Dalian Yingbo,4.0,1.0,,,,,H,,,
China,Super League,2026,2,2026-03-14,07:30,Shandong Taishan,Beijing Guoan,2.0,1.0,,,,,H,,,
China,Super League,2026,2,2026-03-14,07:30,Zhejiang Professional,Shanghai Shenhua,1.0,1.0,,,,,D,,,
China,Super League,2026,2,2026-03-14,11:35,Chongqing Tonglianglong,Liaoning Tieren,1.0,0.0,,,,,H,,,
China,Super League,2026,2,2026-03-14,12:00,Shenzhen Xinpengcheng,Tianjin Jinmen Tiger,1.0,0.0,,,,,H,,,
China,Super League,2026,2,2026-03-15,07:30,Henan Songshan Longmen,Yunnan Yukun,2.0,1.0,,,,,H,,,
China,Super League,2026,2,2026-03-15,11:00,Shanghai Port,Qingdao West Coast,4.0,1.0,,,,,H,,,
China,Super League,2026,2,2026-03-15,11:35,Chengdu Rongcheng,Qingdao Hainiu,1.0,0.0,,,,,H,,,
China,Super League,2026,3,2026-03-20,11:00,Dalian Yingbo,Shanghai Port,1.0,0.0,,,,,H,,,
China,Super League,2026,3,2026-03-20,11:35,Qingdao Hainiu,Zhejiang Professional,1.0,4.0,,,,,A,,,
China,Super League,2026,3,2026-03-21,07:30,Beijing Guoan,Shanghai Shenhua,1.0,1.0,,,,,D,,,
China,Super League,2026,3,2026-03-21,07:30,Liaoning Tieren,Tianjin Jinmen Tiger,3.0,0.0,,,,,H,,,
China,Super League,2026,3,2026-03-21,11:00,Henan Songshan Longmen,Wuhan Three Towns,1.0,1.0,,,,,D,,,
China,Super League,2026,3,2026-03-21,11:35,Chongqing Tonglianglong,Chengdu Rongcheng,3.0,3.0,,,,,D,,,
China,Super League,2026,3,2026-03-21,11:35,Qingdao West Coast,Shenzhen Xinpengcheng,1.0,0.0,,,,,H,,,
China,Super League,2026,3,2026-03-21,12:00,Yunnan Yukun,Shandong Taishan,4.0,0.0,,,,,H,,,
China,Super League,2026,4,2026-04-03,11:35,Chengdu Rongcheng,Qingdao West Coast,5.0,1.0,,,,,H,,,
China,Super League,2026,4,2026-04-04,07:30,Liaoning Tieren,Beijing Guoan,2.0,1.0,,,,,H,,,
China,Super League,2026,4,2026-04-04,07:30,Qingdao Hainiu,Henan Songshan Longmen,1.0,0.0,,,,,H,,,
China,Super League,2026,4,2026-04-04,11:00,Shandong Taishan,Dalian Yingbo,1.0,2.0,,,,,A,,,
China,Super League,2026,4,2026-04-04,11:35,Shanghai Port,Yunnan Yukun,2.0,1.0,,,,,H,,,
China,Super League,2026,4,2026-04-05,07:30,Zhejiang Professional,Chongqing Tonglianglong,0.0,1.0,,,,,A,,,
China,Super League,2026,4,2026-04-05,11:00,Shenzhen Xinpengcheng,Wuhan Three Towns,5.0,2.0,,,,,H,,,
China,Super League,2026,4,2026-04-05,11:35,Tianjin Jinmen Tiger,Shanghai Shenhua,2.0,3.0,,,,,A,,,
China,Super League,2026,5,2026-04-10,11:35,Dalian Yingbo,Zhejiang Professional,3.0,0.0,,,,,H,,,
China,Super League,2026,5,2026-04-11,11:00,Chongqing Tonglianglong,Wuhan Three Towns,2.0,1.0,,,,,H,,,
China,Super League,2026,5,2026-04-11,11:00,Qingdao West Coast,Liaoning Tieren,1.0,1.0,,,,,D,,,
China,Super League,2026,5,2026-04-11,11:35,Henan Songshan Longmen,Shandong Taishan,0.0,1.0,,,,,A,,,
China,Super League,2026,5,2026-04-11,11:35,Shanghai Shenhua,Shanghai Port,1.0,0.0,,,,,H,,,
China,Super League,2026,5,2026-04-12,11:00,Tianjin Jinmen Tiger,Qingdao Hainiu,1.0,1.0,,,,,D,,,
China,Super League,2026,5,2026-04-12,11:35,Beijing Guoan,Chengdu Rongcheng,1.0,2.0,,,,,A,,,
China,Super League,2026,5,2026-04-12,12:00,Shenzhen Xinpengcheng,Yunnan Yukun,3.0,4.0,,,,,A,,,
China,Super League,2026,6,2026-04-17,11:00,Qingdao Hainiu,Qingdao West Coast,0.0,0.0,,,,,D,,,
China,Super League,2026,6,2026-04-17,11:35,Chongqing Tonglianglong,Shenzhen Xinpengcheng,2.0,0.0,,,,,H,,,
China,Super League,2026,6,2026-04-17,11:35,Shandong Taishan,Shanghai Port,1.0,1.0,,,,,D,,,
China,Super League,2026,6,2026-04-17,12:00,Wuhan Three Towns,Chengdu Rongcheng,0.0,1.0,,,,,A,,,
China,Super League,2026,6,2026-04-17,12:00,Yunnan Yukun,Tianjin Jinmen Tiger,0.0,3.0,,,,,A,,,
China,Super League,2026,6,2026-04-17,12:00,Zhejiang Professional,Beijing Guoan,0.0,0.0,,,,,D,,,
China,Super League,2026,6,2026-04-18,11:00,Dalian Yingbo,Henan Songshan Longmen,2.0,1.0,,,,,H,,,
China,Super League,2026,6,2026-04-18,12:00,Shanghai Shenhua,Liaoning Tieren,3.0,1.0,,,,,H,,,
China,Super League,2026,7,2026-04-21,11:00,Shenzhen Xinpengcheng,Beijing Guoan,0.0,1.0,,,,,A,,,
China,Super League,2026,7,2026-04-21,11:35,Chengdu Rongcheng,Yunnan Yukun,2.0,1.0,,,,,H,,,
China,Super League,2026,7,2026-04-21,11:35,Wuhan Three Towns,Zhejiang Professional,2.0,0.0,,,,,H,,,
China,Super League,2026,7,2026-04-21,12:00,Shanghai Port,Chongqing Tonglianglong,1.0,2.0,,,,,A,,,
China,Super League,2026,7,2026-04-21,12:00,Tianjin Jinmen Tiger,Shandong Taishan,1.0,2.0,,,,,A,,,
China,Super League,2026,7,2026-04-22,11:35,Liaoning Tieren,Dalian Yingbo,0.0,1.0,,,,,A,,,
China,Super League,2026,7,2026-04-22,11:35,Qingdao West Coast,Henan Songshan Longmen,0.0,0.0,,,,,D,,,
China,Super League,2026,7,2026-04-22,12:00,Shanghai Shenhua,Qingdao Hainiu,2.0,0.0,,,,,H,,,
China,Super League,2026,8,2026-04-25,11:00,Chengdu Rongcheng,Zhejiang Professional,4.0,0.0,,,,,H,,,
China,Super League,2026,8,2026-04-25,11:35,Beijing Guoan,Tianjin Jinmen Tiger,2.0,4.0,,,,,A,,,
China,Super League,2026,8,2026-04-25,12:00,Shanghai Port,Wuhan Three Towns,4.0,0.0,,,,,H,,,
China,Super League,2026,8,2026-04-26,09:00,Qingdao Hainiu,Shandong Taishan,4.0,1.0,,,,,H,,,
China,Super League,2026,8,2026-04-26,11:00,Chongqing Tonglianglong,Qingdao West Coast,1.0,1.0,,,,,D,,,
China,Super League,2026,8,2026-04-26,11:00,Shenzhen Xinpengcheng,Liaoning Tieren,1.0,0.0,,,,,H,,,
China,Super League,2026,8,2026-04-26,11:35,Dalian Yingbo,Yunnan Yukun,1.0,3.0,,,,,A,,,
China,Super League,2026,8,2026-04-26,12:00,Henan Songshan Longmen,Shanghai Shenhua,0.0,3.0,,,,,A,,,
China,Super League,2026,9,2026-05-01,11:00,Dalian Yingbo,Chongqing Tonglianglong,1.0,0.0,,,,,H,,,
China,Super League,2026,9,2026-05-01,11:00,Henan Songshan Longmen,Liaoning Tieren,4.0,0.0,,,,,H,,,
China,Super League,2026,9,2026-05-01,11:35,Shandong Taishan,Qingdao West Coast,1.0,1.0,,,,,D,,,
