Country,League,Season,Round,Date,Time,Home,Away,HxG,AxG,HG,AG,HExpG+,AExpG+,Res,pinnacle_open_h,pinnacle_open_d,pinnacle_open_a,pinnacle_close_h,pinnacle_close_d,pinnacle_close_a,pinnacle_open_ah,pinnacle_open_ah_h,pinnacle_open_ah_a,pinnacle_close_ah,pinnacle_close_ah_h,pinnacle_close_ah_a,onexbet_open_h,onexbet_open_d,onexbet_open_a,onexbet_close_h,onexbet_close_d,onexbet_close_a
China,Super League,2023,1,2023-04-15,12:35,Dalian Pro,Nantong Zhiyun,0.95,0.59,2.0,1.0,1.265,0.713,H,2.25,3.22,3.33,2.42,3.18,3.15,-0.25,1.89,1.88,-0.25,2.06,1.81,,,,,,
China,Super League,2023,1,2023-04-15,12:35,Zhejiang Professional,Changchun Yatai,0.8,0.89,0.0,2.0,0.5599999999999999,1.2229999999999999,A,1.58,3.89,5.26,1.62,3.83,5.87,-1.0,2.03,1.76,-1.0,2.06,1.81,,,,,,
China,Super League,2023,1,2023-04-15,12:35,Wuhan Three Towns,Shanghai Port,0.62,1.03,0.0,2.0,0.434,1.321,A,2.17,3.43,3.14,2.51,3.46,2.8,-0.25,1.88,1.89,0.0,1.88,2.07,,,,,,
China,Super League,2023,1,2023-04-15,13:05,Beijing Guoan,Meizhou Hakka,2.14,0.68,1.0,1.0,1.798,0.776,D,1.44,4.14,6.9,1.46,4.35,7.42,-1.0,1.78,2.0,-1.25,2.02,1.84,,,,,,
China,Super League,2023,1,2023-04-16,12:35,Henan Songshan Longmen,Chengdu Rongcheng,0.34,1.18,1.0,1.0,0.538,1.126,D,2.79,3.18,2.52,4.3,3.53,1.88,0.0,1.99,1.79,0.5,1.93,1.92,,,,,,
China,Super League,2023,1,2023-04-16,12:35,Shenzhen,Qingdao Hainiu,1.94,1.85,2.0,1.0,1.9579999999999997,1.595,H,5.54,3.78,1.58,7.05,4.04,1.51,1.0,1.79,1.99,1.0,1.95,1.89,,,,,,
China,Super League,2023,1,2023-04-16,12:35,Tianjin Jinmen Tiger,Cangzhou,2.28,0.8,1.0,1.0,1.896,0.8599999999999999,D,1.85,3.52,4.28,1.88,3.23,4.82,-0.5,1.81,1.95,-0.5,1.88,1.97,,,,,,
China,Super League,2023,1,2023-04-16,12:35,Shanghai Shenhua,Shandong Taishan,0.74,1.21,1.0,0.0,0.8180000000000001,0.847,H,3.77,3.39,1.95,3.16,3.31,2.35,0.5,1.83,1.95,0.25,1.85,2.01,,,,,,
China,Super League,2023,2,2023-04-20,12:35,Wuhan Three Towns,Beijing Guoan,2.29,1.43,1.0,1.0,1.903,1.301,D,2.02,3.36,3.16,2.08,3.59,3.49,-0.5,1.98,1.8,-0.5,2.06,1.81,,,,,,
China,Super League,2023,2,2023-04-21,10:30,Meizhou Hakka,Shanghai Shenhua,0.19,1.19,0.0,1.0,0.13299999999999998,1.133,A,2.9,2.99,2.67,2.82,3.06,2.76,0.0,1.97,1.81,0.0,1.95,1.9,,,,,,
